[0] ms, LOG; Program starts; in file /home/krzysztof/c-cut/main.c; at line 84
[3914] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4014] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4115] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4215] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4316] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4416] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4516] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4617] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4717] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4818] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[4919] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5019] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5119] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5220] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5320] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5421] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5521] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5621] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5721] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5822] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[5922] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6023] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6123] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6223] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6324] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6424] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6524] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6624] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6725] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6825] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[6925] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7026] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7126] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7226] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7327] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7427] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7528] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7628] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7728] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7829] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[7929] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8029] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8130] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8230] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8331] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8431] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8532] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8632] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8733] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8833] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[8933] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9034] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9134] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9234] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9335] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9435] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9536] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9636] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9736] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9836] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[9937] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10037] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10138] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10238] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10338] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10438] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10539] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10639] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10740] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10840] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[10941] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11041] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11142] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11243] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11343] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11443] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11543] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11644] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11744] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11845] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[11945] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12046] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12146] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12246] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12347] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12447] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12548] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12648] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12748] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12849] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[12949] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13050] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13150] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13251] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13351] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13451] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13552] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13652] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13752] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13853] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[13953] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14053] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14154] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14254] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14355] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14455] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14556] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14656] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14757] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14857] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[14958] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15058] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15158] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15259] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15359] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15460] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15560] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15660] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15761] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15861] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[15962] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16063] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16163] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16264] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16364] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16465] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16565] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16666] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16766] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16867] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[16967] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17067] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17167] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17268] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17368] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17468] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17569] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17669] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17770] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17870] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[17971] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18071] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18171] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18272] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18372] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18472] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18573] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18673] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18774] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18875] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[18975] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19076] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19176] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19276] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19377] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19477] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19577] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19677] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19777] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19878] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[19978] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20079] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20179] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20279] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20380] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20480] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20580] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20681] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20781] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20881] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[20982] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21082] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21182] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21283] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21383] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21484] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21584] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21685] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21785] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21885] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[21986] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22086] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22187] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22287] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22388] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22488] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22588] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22688] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22789] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22890] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[22990] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23091] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23191] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23292] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23392] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23493] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23593] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23694] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23795] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23895] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[23996] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24096] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24197] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24297] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24397] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24497] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24598] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24698] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24798] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24899] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[24999] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[25099] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[25199] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[25300] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[25400] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[25500] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[25601] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[25701] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[25802] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[25902] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[26003] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[26104] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[26204] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[26304] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[26405] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[26506] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[26606] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[26707] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
